Index,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,Company
2007,USD,0001045810,2007-03-16,2007-03-16 14:12:51,2007,FY,544414000,573436000,1117850000,518680000,354680000,40560000,2031770000,260828000,301425000,45511000,346936000,0,7380000,28349000,643493000,0,2675263000,272075000,0,0,1180000,365552000,638807000,0,0,0,29537000,29537000,0,0,668344000,0,388000,1196565000,1436000,808530000,2006919000,2006919000,2675263000,0,2675263000,0,0,-544414000,https://www.sec.gov/Archives/edgar/data/1045810/000104581007000008/fy2007annualreportonform10-k.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581007000008/fy2007annualreportonform10-k.htm,NVDA
2006,USD,0001045810,2006-03-16,2006-03-16 17:08:37,2006,FY,551756000,398418000,950174000,318186000,254792000,25780000,1548932000,178152000,0,160738000,160738000,0,0,27477000,366367000,0,1915299000,179395000,0,0,0,259264000,438659000,0,0,8260000,10624000,18884000,0,0,457543000,0,180000,875100000,-3633000,586109000,1457756000,1457756000,1915299000,0,1915299000,0,0,-551756000,https://www.sec.gov/Archives/edgar/data/1045810/000104581006000014/fy2006annualreportonform10-k.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581006000014/fy2006annualreportonform10-k.htm,NVDA
2005,USD,0001045810,2005-03-22,2005-03-22 14:33:30,2005,FY,208512000,461533000,670045000,296279000,315518000,23084000,1304926000,178955000,0,135621000,135621000,0,0,9034000,323610000,0,1628536000,238223000,856000,0,11500000,170577000,421156000,0,0,20754000,8358000,29112000,0,0,450268000,0,169000,572514000,-6389000,611974000,1178268000,1178268000,1628536000,0,1628536000,0,856000,-207656000,https://www.sec.gov/Archives/edgar/data/1045810/000104581005000008/0001045810-05-000008-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581005000008/annualreport.htm,NVDA
2004,USD,0001045810,2004-01-31,2004-01-30 19:00:00,2004,FY,214422000,389621000,604043000,196631000,234238000,17800000,1052712000,190029000,0,148872000,148872000,0,0,7731000,346632000,0,1399344000,185342000,4015000,0,0,144755000,334112000,856000,0,8609000,4582000,14047000,0,856000,348159000,0,164000,472158000,-4618000,583481000,1051185000,1051185000,1399344000,0,1399344000,0,4871000,-209551000,,,NVDA
2003,USD,0001045810,2003-04-25,2003-04-24 21:55:57,2003,FY,346994000,681419000,1028413000,154501000,145046000,23642000,1351602000,135152000,0,76471000,76471000,0,43317000,10473000,265413000,0,1617015000,141129000,5676000,0,0,232643000,379448000,304880000,0,0,0,304880000,0,4880000,684328000,0,158000,397739000,3760000,531030000,932687000,932687000,1617015000,0,1617015000,0,310556000,-36438000,https://www.sec.gov/Archives/edgar/data/1045810/000104596903001196/0001045969-03-001196-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104596903001196/d10k.htm,NVDA
2002,USD,0001045810,2002-01-27,2002-01-26 19:00:00,2002,FY,333000000,458000000,791000000,147000000,214000000,82000000,1234000000,120000000,50000000,31000000,81000000,0,0,68000000,269000000,0,1503000000,214000000,0,0,70193000,148807000,433000000,306000000,0,0,0,306000000,0,0,739000000,0,0,307000000,-50000000,507000000,764000000,764000000,1503000000,0,1503000000,458000000,310000000,-23000000,,,NVDA
2001,USD,0001045810,2001-05-25,2001-05-25 00:00:00,2001,FY,674000000,0,674000000,105000000,90000000,62000000,931000000,47000000,24000000,0,24000000,0,0,15000000,86000000,0,1017000000,72000000,0,0,0,237000000,309000000,300000000,0,0,1000000,301000000,0,0,610000000,0,0,130000000,-29000000,306000000,407000000,407000000,1017000000,0,1017000000,0,301000000,-373000000,https://www.sec.gov/Archives/edgar/data/1045810/000101287001501023/0001012870-01-501023-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000101287001501023/d10k405a.txt,NVDA
2000,USD,0001045810,2000-01-30,2000-01-29 19:00:00,2000,FY,62000000,0,62000000,67000000,38000000,6000000,173000000,26000000,0,0,0,0,0,3000000,29000000,0,202000000,65000000,0,0,0,11000000,76000000,1000000,0,0,1000000,2000000,0,0,78000000,0,0,29000000,-15000000,111000000,125000000,125000000,203000000,0,203000000,0,3000000,-59000000,,,NVDA
1999,USD,0001045810,1999-01-31,1999-01-30 19:00:00,1999,FY,50300000,0,50300000,20600000,28600000,1600000,101100000,11700000,0,0,0,0,0,500000,12200000,0,113300000,35700000,6400000,0,0,5000000,47100000,2000000,0,0,0,2000000,0,0,49100000,0,0,-9400000,-6900000,80500000,64200000,64200000,113300000,0,113300000,0,8400000,-41900000,,,NVDA
2022,USD,0000050863,2023-01-27,2023-01-26 18:31:20,2022,FY,11144000000,17194000000,28338000000,4133000000,13224000000,4712000000,50407000000,80860000000,27591000000,6018000000,33609000000,5912000000,0,11315000000,131696000000,0,182103000000,9595000000,4323000000,2251000000,0,15986000000,32155000000,37684000000,0,202000000,8776000000,46662000000,0,0,78817000000,0,31580000000,70405000000,-562000000,0,101423000000,101423000000,180240000000,0,180240000000,23106000000,42007000000,30863000000,https://www.sec.gov/Archives/edgar/data/50863/000005086323000006/0000050863-23-000006-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086323000006/intc-20221231.htm,INTC
2021,USD,0000050863,2022-01-27,2022-01-26 18:34:53,2021,FY,4827000000,23586000000,28413000000,9457000000,10776000000,9072000000,57718000000,63245000000,26963000000,7270000000,34233000000,7138000000,0,6072000000,110688000000,0,168406000000,5747000000,4591000000,4305000000,0,12819000000,27462000000,33510000000,185000000,2667000000,9191000000,45553000000,0,0,73015000000,0,28006000000,68265000000,-880000000,0,95391000000,95391000000,168406000000,0,168406000000,30724000000,38101000000,33274000000,https://www.sec.gov/Archives/edgar/data/50863/000005086322000007/0000050863-22-000007-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086322000007/intc-20211225.htm,INTC
2020,USD,0000050863,2021-01-22,2021-01-21 19:06:04,2020,FY,5865000000,18030000000,23895000000,6782000000,8427000000,8145000000,47249000000,56584000000,26971000000,9026000000,35997000000,7344000000,1232000000,4685000000,105842000000,0,153091000000,5581000000,2504000000,0,0,16669000000,24754000000,33897000000,1367000000,3843000000,8192000000,47299000000,0,0,72053000000,0,25556000000,56233000000,-751000000,0,81038000000,81038000000,153091000000,0,153091000000,25374000000,36401000000,30536000000,https://www.sec.gov/Archives/edgar/data/50863/000005086321000010/0000050863-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086321000010/intc-20201226.htm,INTC
2019,USD,0000050863,2020-01-24,2020-01-23 18:39:55,2019,FY,4194000000,8929000000,13123000000,7659000000,8744000000,1713000000,31239000000,56014000000,26276000000,10827000000,37103000000,7243000000,2044000000,2881000000,105285000000,0,136524000000,4128000000,3693000000,0,2044000000,12445000000,22310000000,25308000000,1368000000,2044000000,7835000000,36555000000,0,0,58865000000,0,25261000000,53523000000,-1280000000,0,77504000000,77504000000,136369000000,0,136369000000,16172000000,29001000000,24807000000,https://www.sec.gov/Archives/edgar/data/50863/000005086320000011/0000050863-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086320000011/a12282019q4-10kdocument.htm,INTC
2018,USD,0000050863,2019-02-01,2019-02-01 09:00:50,2018,FY,3019000000,8631000000,11650000000,6722000000,7253000000,3162000000,28787000000,48976000000,24513000000,11836000000,36349000000,9430000000,1665000000,2756000000,99176000000,0,127963000000,3824000000,1261000000,0,1665000000,9876000000,16626000000,25098000000,2049000000,1665000000,7543000000,36355000000,0,0,52981000000,0,25365000000,50172000000,-974000000,0,74563000000,74563000000,127544000000,0,127544000000,18061000000,26359000000,23340000000,https://www.sec.gov/Archives/edgar/data/50863/000005086319000007/0000050863-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086319000007/a12292018q4-10kdocument.htm,INTC
2017,USD,0000050863,2018-02-16,2018-02-16 08:31:45,2017,FY,3433000000,10569000000,14002000000,5607000000,6983000000,2908000000,29500000000,41109000000,24389000000,12745000000,37134000000,12404000000,3046000000,56000000,93749000000,0,123249000000,2928000000,1776000000,0,1656000000,11061000000,17421000000,25037000000,0,3046000000,7860000000,35943000000,0,0,53364000000,0,26074000000,42083000000,862000000,0,69019000000,69019000000,122383000000,0,122383000000,22973000000,26813000000,23380000000,https://www.sec.gov/Archives/edgar/data/50863/000005086318000007/0000050863-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086318000007/a12302017q4-10kdocument.htm,INTC
2016,USD,0000050863,2017-02-17,2017-02-17 08:37:46,2016,FY,5560000000,11539000000,17099000000,4690000000,5553000000,8166000000,35508000000,36171000000,14099000000,9494000000,23593000000,15322000000,907000000,1826000000,77819000000,0,113327000000,2475000000,4634000000,0,1718000000,11475000000,20302000000,20649000000,0,1730000000,3538000000,25917000000,0,0,46219000000,0,25373000000,40747000000,106000000,0,66226000000,66226000000,112445000000,0,112445000000,26861000000,25283000000,19723000000,https://www.sec.gov/Archives/edgar/data/50863/000005086317000012/0000050863-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086317000012/a10kdocument12312016q4.htm,INTC
2015,USD,0000050863,2016-02-12,2016-02-12 08:09:19,2015,FY,15308000000,10005000000,25313000000,4787000000,5167000000,3053000000,38320000000,31858000000,11332000000,3933000000,15265000000,12374000000,954000000,2688000000,63139000000,0,101459000000,2063000000,2634000000,0,2188000000,8761000000,15646000000,20036000000,0,2539000000,1256000000,23831000000,0,0,39477000000,0,23411000000,37614000000,60000000,0,61085000000,61085000000,100562000000,0,100562000000,22379000000,22670000000,7362000000,https://www.sec.gov/Archives/edgar/data/50863/000005086316000105/0000050863-16-000105-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086316000105/a10kdocument12262015q4.htm,INTC
2014,USD,0000050863,2015-02-13,2015-02-13 09:11:52,2014,FY,2561000000,11493000000,14054000000,4427000000,4273000000,4976000000,27730000000,33238000000,10861000000,4446000000,15307000000,12335000000,3775000000,-485000000,64170000000,0,91900000000,2748000000,1604000000,0,2205000000,9454000000,16011000000,12059000000,0,3775000000,4190000000,20024000000,0,0,36035000000,0,21781000000,33418000000,666000000,0,55865000000,55865000000,91900000000,0,91900000000,23828000000,13663000000,11102000000,https://www.sec.gov/Archives/edgar/data/50863/000005086315000015/0000050863-15-000015-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086315000015/a10kdocument12272014.htm,INTC
2013,USD,0000050863,2014-02-14,2014-02-14 09:08:47,2013,FY,5674000000,14413000000,20087000000,3582000000,4172000000,4243000000,32084000000,31428000000,10513000000,5150000000,15663000000,10002000000,4397000000,-1216000000,60274000000,0,92358000000,2969000000,281000000,0,2096000000,8222000000,13568000000,13165000000,0,4397000000,2972000000,20534000000,0,0,34102000000,0,21536000000,35477000000,1243000000,0,58256000000,58256000000,92358000000,0,92358000000,24415000000,13446000000,7772000000,https://www.sec.gov/Archives/edgar/data/50863/000005086314000020/0000050863-14-000020-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086314000020/a10kdocument12282013.htm,INTC
2012,USD,0000050863,2013-02-19,2013-02-19 17:06:31,2012,FY,8478000000,9684000000,18162000000,3833000000,4734000000,4629000000,31358000000,27983000000,9710000000,6235000000,15945000000,7111000000,3412000000,-1458000000,52993000000,0,84351000000,3023000000,312000000,0,1932000000,7631000000,12898000000,13136000000,0,3412000000,3702000000,20250000000,0,0,33148000000,0,19464000000,32138000000,-399000000,0,51203000000,51203000000,84351000000,0,84351000000,16795000000,13448000000,4970000000,https://www.sec.gov/Archives/edgar/data/50863/000119312513065416/0001193125-13-065416-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000119312513065416/d424446d10k.htm,INTC
2011,USD,0000050863,2012-02-23,2012-02-23 17:05:25,2011,FY,5065000000,9772000000,14837000000,3650000000,4096000000,3289000000,25872000000,23627000000,9254000000,6267000000,15521000000,1451000000,0,4648000000,45247000000,0,71119000000,2956000000,247000000,0,1929000000,6896000000,12028000000,7084000000,0,2617000000,3479000000,13180000000,0,0,25208000000,0,17036000000,29656000000,-781000000,0,45911000000,45911000000,71119000000,0,71119000000,11223000000,7331000000,2266000000,https://www.sec.gov/Archives/edgar/data/50863/000119312512075534/0001193125-12-075534-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000119312512075534/d302695d10k.htm,INTC
2010,USD,0000050863,2011-02-18,2011-02-18 17:20:31,2010,FY,5498000000,16387000000,21885000000,2867000000,3757000000,3102000000,31611000000,17899000000,4531000000,860000000,5391000000,4034000000,926000000,3325000000,31575000000,0,63186000000,2290000000,38000000,0,622000000,6377000000,9327000000,2077000000,0,926000000,1426000000,4429000000,0,0,13756000000,0,16178000000,32919000000,333000000,0,49430000000,49430000000,63186000000,0,63186000000,20421000000,2115000000,-3383000000,https://www.sec.gov/Archives/edgar/data/50863/000095012311015783/0000950123-11-015783-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000095012311015783/f56033e10vk.htm,INTC
2009,USD,0000050863,2010-02-22,2010-02-22 17:14:00,2009,FY,3987000000,9933000000,13920000000,2273000000,2935000000,2029000000,21157000000,17225000000,4421000000,883000000,5304000000,4952000000,555000000,3902000000,31938000000,0,53095000000,1883000000,172000000,86000000,593000000,4857000000,7591000000,2049000000,0,555000000,1196000000,3800000000,0,0,11391000000,0,14993000000,26318000000,393000000,0,41704000000,41704000000,53095000000,0,53095000000,14885000000,2221000000,-1766000000,https://www.sec.gov/Archives/edgar/data/50863/000095012310015237/0000950123-10-015237-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000095012310015237/f54119e10vk.htm,INTC
2008,USD,0000050863,2009-02-23,2009-02-20 17:44:51,2008,FY,3350000000,8493000000,11843000000,1712000000,3744000000,2572000000,19871000000,17574000000,3932000000,775000000,4707000000,3276000000,46000000,4998000000,30601000000,0,50472000000,2390000000,102000000,0,463000000,4863000000,7818000000,1185000000,0,0,1923000000,3108000000,0,0,10926000000,0,13402000000,26537000000,-393000000,-458000000,39088000000,39088000000,50014000000,0,50014000000,11769000000,1287000000,-2063000000,https://www.sec.gov/Archives/edgar/data/50863/000089161809000047/0000891618-09-000047-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000089161809000047/f50771e10vk.htm,INTC
2007,USD,0000050863,2008-02-20,2008-02-19 19:50:19,2007,FY,7307000000,8056000000,15363000000,2576000000,3370000000,2576000000,23885000000,16918000000,3916000000,960000000,4876000000,5385000000,411000000,4176000000,31766000000,0,55651000000,2361000000,142000000,0,625000000,5443000000,8571000000,1980000000,0,0,2338000000,4318000000,0,0,12889000000,0,11653000000,30848000000,261000000,0,42762000000,42762000000,55651000000,0,55651000000,13441000000,2122000000,-5185000000,https://www.sec.gov/Archives/edgar/data/50863/000089161808000106/0000891618-08-000106-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000089161808000106/f36442e10vk.htm,INTC
2006,USD,0000050863,2007-02-26,2007-02-23 17:40:01,2006,FY,6598000000,3404000000,10002000000,2709000000,4314000000,1255000000,18280000000,17602000000,3861000000,987000000,4848000000,4421000000,265000000,2952000000,30088000000,0,48368000000,2256000000,180000000,0,599000000,5479000000,8514000000,1848000000,0,0,1254000000,3102000000,0,0,11616000000,0,7825000000,28984000000,-57000000,0,36752000000,36752000000,48368000000,0,48368000000,7825000000,2028000000,-4570000000,https://www.sec.gov/Archives/edgar/data/50863/000089161807000111/0000891618-07-000111-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000089161807000111/f23627e10vk.htm,INTC
2005,USD,0000050863,2006-02-27,2006-02-24 17:40:44,2005,FY,7324000000,5448000000,12772000000,3914000000,3126000000,1382000000,21194000000,17111000000,0,3873000000,3873000000,4672000000,0,1464000000,27120000000,0,48314000000,2249000000,313000000,0,632000000,6040000000,9234000000,2106000000,0,703000000,89000000,2898000000,0,0,12132000000,0,6245000000,29810000000,127000000,0,36182000000,36182000000,48314000000,0,48314000000,10120000000,2419000000,-4905000000,https://www.sec.gov/Archives/edgar/data/50863/000089161806000089/0000891618-06-000089-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000089161806000089/f12963e10vk.htm,INTC
2004,USD,0000050863,2005-02-22,2005-02-18 17:51:02,2004,FY,8407000000,8765000000,17172000000,2999000000,2621000000,1266000000,24058000000,15768000000,3719000000,0,3719000000,3219000000,855000000,524000000,24085000000,0,48143000000,1943000000,201000000,0,592000000,5270000000,8006000000,703000000,0,0,855000000,1558000000,0,0,9564000000,0,6143000000,32288000000,148000000,0,38579000000,38579000000,48143000000,0,48143000000,11984000000,904000000,-7503000000,https://www.sec.gov/Archives/edgar/data/50863/000119312505033162/0001193125-05-033162-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000119312505033162/d10k.htm,INTC
2003,USD,0000050863,2004-02-23,2004-02-20 17:50:23,2003,FY,7971000000,8193000000,16164000000,2960000000,2519000000,1239000000,22882000000,16661000000,3705000000,0,3705000000,2380000000,1482000000,33000000,24261000000,0,47143000000,1660000000,224000000,0,633000000,4362000000,6879000000,936000000,0,0,1482000000,2418000000,0,0,9297000000,0,6754000000,31016000000,76000000,0,37846000000,37846000000,47143000000,0,47143000000,10573000000,1160000000,-6811000000,https://www.sec.gov/Archives/edgar/data/50863/000119312504027430/0001193125-04-027430-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000119312504027430/d10k.htm,INTC
2002,USD,0000050863,2003-03-11,2003-03-10 19:12:43,2002,FY,7404000000,5183000000,12587000000,2574000000,2276000000,1488000000,18925000000,17847000000,4330000000,0,4330000000,1234000000,1232000000,656000000,25299000000,0,44224000000,1543000000,436000000,0,475000000,4141000000,6595000000,929000000,0,0,1232000000,2161000000,0,0,8756000000,0,7641000000,27847000000,-20000000,0,35468000000,35468000000,44224000000,0,44224000000,6417000000,1365000000,-6039000000,https://www.sec.gov/Archives/edgar/data/50863/000104746903008257/0001047469-03-008257-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000104746903008257/a2104280z10-k.htm,INTC
2001,USD,0000050863,2002-03-13,2002-03-13 00:00:00,2001,FY,7970000000,3580000000,11550000000,2607000000,2253000000,1223000000,17633000000,18121000000,5127000000,797000000,5924000000,1474000000,945000000,298000000,26762000000,0,44395000000,1769000000,409000000,988000000,418000000,2986000000,6570000000,1050000000,0,0,945000000,1995000000,0,0,8565000000,0,8833000000,27150000000,-306000000,153000000,35830000000,35830000000,44395000000,0,44395000000,5054000000,1459000000,-6511000000,https://www.sec.gov/Archives/edgar/data/50863/000091205702009698/0000912057-02-009698-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000091205702009698/a2072777z10-k.htm,INTC
2000,USD,0000050863,2001-03-13,2001-03-13 00:00:00,2000,FY,2976000000,10847000000,13823000000,4129000000,2241000000,957000000,21150000000,15013000000,5941000000,0,5941000000,3712000000,1266000000,863000000,26795000000,0,47945000000,2387000000,378000000,1293000000,674000000,3918000000,8650000000,707000000,0,0,1266000000,1973000000,0,0,10623000000,0,8486000000,28738000000,196000000,-98000000,37322000000,37322000000,47945000000,0,47945000000,14559000000,1085000000,-1891000000,https://www.sec.gov/Archives/edgar/data/50863/000091205701503434/0000912057-01-503434-index.html,https://www.sec.gov/Archives/edgar/data/50863/000091205701503434/a2040883z10-k.htm,INTC
1999,USD,0000050863,1999-12-25,1999-12-24 19:00:00,1999,FY,3695000000,8093000000,11788000000,3700000000,1478000000,853000000,17819000000,11715000000,4934000000,0,4934000000,7911000000,3130000000,-1660000000,26030000000,0,43849000000,1370000000,0,0,0,5729000000,7099000000,955000000,0,0,3260000000,4215000000,0,0,11314000000,0,7316000000,21428000000,7582000000,-3791000000,32535000000,32535000000,43849000000,0,43849000000,16004000000,1185000000,-2510000000,,,INTC
1998,USD,0000050863,1998-12-26,1998-12-25 19:00:00,1998,FY,2038000000,5588000000,7626000000,3527000000,1582000000,740000000,13475000000,11609000000,111000000,0,111000000,5365000000,1387000000,-476000000,17996000000,0,31471000000,1244000000,0,0,0,4560000000,5804000000,702000000,0,0,1588000000,2290000000,0,0,8094000000,0,4822000000,17952000000,1206000000,-603000000,23377000000,23377000000,31471000000,0,31471000000,10953000000,861000000,-1177000000,,,INTC
1997,USD,0000050863,1997-12-27,1997-12-26 19:00:00,1997,FY,4102000000,5825000000,9927000000,3438000000,1697000000,805000000,15867000000,10666000000,0,0,0,1839000000,1076000000,-568000000,13013000000,0,28880000000,1407000000,0,0,0,4613000000,6020000000,448000000,0,0,3117000000,3565000000,0,0,9585000000,0,3311000000,15926000000,116000000,-58000000,19295000000,19295000000,28880000000,0,28880000000,7664000000,770000000,-3332000000,,,INTC
1996,USD,0000050863,1997-03-28,1997-03-28 00:00:00,1996,FY,4165000000,3829000000,7994000000,3723000000,1293000000,674000000,13684000000,8487000000,0,0,0,1353000000,997000000,-786000000,10051000000,0,23735000000,969000000,0,0,0,3894000000,4863000000,728000000,0,0,1272000000,2000000000,0,0,6863000000,0,2897000000,13975000000,-5775000000,5775000000,16872000000,16872000000,23735000000,0,23735000000,5182000000,1117000000,-3048000000,https://www.sec.gov/Archives/edgar/data/50863/000005086397000020/0000050863-97-000020-index.html,https://www.sec.gov/Archives/edgar/data/50863/0000050863-97-000020.txt,INTC
1995,USD,0000050863,1996-03-29,1996-03-29 00:00:00,1995,FY,1463000000,995000000,2458000000,3116000000,2004000000,519000000,8097000000,7471000000,0,0,0,1653000000,620000000,-337000000,9407000000,0,17504000000,864000000,0,0,0,2755000000,3619000000,400000000,0,0,1345000000,1745000000,0,0,5364000000,0,2583000000,9557000000,-4321000000,4321000000,12140000000,12140000000,17504000000,0,17504000000,2648000000,746000000,-717000000,https://www.sec.gov/Archives/edgar/data/50863/000005086396000002/0000050863-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/50863/0000050863-96-000002.txt,INTC
1994,USD,0000050863,1995-03-28,1995-03-28 00:00:00,1994,FY,1180000000,1230000000,2410000000,1978000000,1169000000,610000000,6167000000,5367000000,0,0,0,0,0,2282000000,7649000000,0,13816000000,575000000,517000000,0,0,1932000000,3024000000,392000000,0,389000000,744000000,1525000000,0,0,4549000000,0,2306000000,6961000000,-3149000000,3149000000,9267000000,9267000000,13816000000,0,13816000000,0,909000000,-271000000,https://www.sec.gov/Archives/edgar/data/50863/000005086395000004/0000050863-95-000004-index.html,https://www.sec.gov/Archives/edgar/data/50863/0000050863-95-000004.txt,INTC
2022,TWD,0001046179,2022-12-31,2022-12-30 19:00:00,2022,FY,1342814083000,243686042000,1586500125000,231408820000,221149148000,13838651000,2052896744000,2735751106000,5791821000,20207334000,25999155000,68927920000,69185842000,12018111000,2911882134000,0,4964778878000,268379321000,19313889000,120801814000,0,535731793000,944226817000,868860583000,0,1031383000,190171228000,1060063194000,0,29764097000,2004290011000,0,259303805000,2637524688000,0,0,2945653195000,2945653195000,4949943206000,0,4949943206000,312613962000,888174472000,-454639611000,,,TSM
2021,TWD,0001046179,2022-04-14,2022-04-14 06:49:10,2021,FY,1064990200000,139923500000,1204913700000,198362900000,193102300000,10694000000,1607072900000,2007853100000,5379200000,21442500000,26821700000,29183500000,49153900000,5217100000,2118229300000,0,3725302200000,193027800000,119488000000,78496600000,0,367340400000,758352800000,634143900000,0,1873900000,179249100000,815266900000,0,20764200000,1573619700000,0,259303800000,1887802900000,370451000000,-368297900000,2149259800000,2149259800000,3722879500000,0,3722879500000,169107000000,753631900000,-311358300000,https://www.sec.gov/Archives/edgar/data/1046179/000119312522104891/0001193125-22-104891-index.htm,https://www.sec.gov/ix?doc=/Archives/edgar/data/1046179/000119312522104891/d204786d20f.htm,TSM
2020,TWD,0001046179,2021-04-16,2021-04-16 07:58:57,2020,FY,660170600000,141982000000,802152600000,146089000000,137353400000,6590300000,1092185300000,1583317600000,5436600000,20331500000,25768100000,27617300000,25958200000,5754000000,1668415200000,0,2760600500000,196792300000,91159000000,68656700000,0,275290400000,631898400000,276633300000,265600000,1729900000,14309500000,292938300000,0,20560600000,924836700000,0,259303800000,1573840100000,0,1667400000,1834811300000,1834811300000,2759648000000,0,2759648000000,169599300000,367792300000,-292378300000,https://www.sec.gov/Archives/edgar/data/1046179/000119312521118512/0001193125-21-118512-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312521118512/d94821d20f.htm,TSM
2019,TWD,0001046179,2020-04-15,2020-04-15 06:35:58,2019,FY,455399300000,139064400000,594463700000,139822300000,82981200000,5346700000,822613900000,1369609800000,5693400000,14959600000,20653000000,30092000000,17928400000,3827900000,1442111100000,0,2264725000000,179581800000,150322300000,40094300000,0,228365400000,598363800000,40141800000,176900000,344400000,11310800000,51973900000,0,15041800000,650337700000,0,259303800000,1325630400000,321822000000,-293050600000,1613705600000,1613705600000,2264043300000,0,2264043300000,169156400000,190464100000,-264935200000,https://www.sec.gov/Archives/edgar/data/1046179/000119312520107579/0001193125-20-107579-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312520107579/d831201d20f.htm,TSM
2018,TWD,0001046179,2019-04-17,2019-04-17 07:21:35,2018,FY,577814600000,135941400000,713756000000,129262800000,103231000000,5429900000,951679700000,1072050300000,5795500000,11206600000,17002100000,29208000000,16806400000,3284700000,1138351500000,0,2090031200000,76114600000,123654700000,55281600000,0,101786200000,356837100000,56900000000,3353300000,233300000,11602400000,72089000000,0,0,428926100000,0,259303800000,1360258900000,0,40866100000,1660428800000,1660428800000,2089354900000,0,2089354900000,165149400000,180554700000,-397259900000,https://www.sec.gov/Archives/edgar/data/1046179/000119312519108390/0001193125-19-108390-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312519108390/d665387d20f.htm,TSM
2017,TWD,0001046179,2018-04-19,2018-04-19 07:56:01,2017,FY,553391700000,103185500000,656577200000,122488400000,73880700000,4256800000,857203100000,1062542300000,5648700000,8526500000,14175200000,41439400000,12105500000,4266500000,1134528900000,0,1991732000000,84136600000,63766800000,61662800000,0,177324000000,386890200000,91800000000,7586800000,302200000,10706300000,110395300000,0,0,497285500000,0,259303800000,1205051300000,0,29391700000,1493746800000,1493746800000,1991032300000,0,1991032300000,144624900000,155566800000,-397824900000,https://www.sec.gov/Archives/edgar/data/1046179/000119312518121866/0001193125-18-121866-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312518121866/d459142d20f.htm,TSM
2016,TWD,0001046179,2017-04-13,2017-04-13 07:18:42,2016,FY,541253800000,94950500000,636204300000,129451600000,48682200000,3391000000,817729100000,997777700000,6008000000,8606800000,14614800000,45995400000,8271400000,1908300000,1068567600000,0,1886296700000,89216800000,57958200000,70352800000,0,130758200000,348286000000,153115400000,14670400000,141200000,10237900000,178164900000,0,0,526450900000,0,259303800000,1041810700000,0,57936200000,1359050700000,1359050700000,1885501600000,0,1885501600000,140945900000,211073600000,-330180200000,https://www.sec.gov/Archives/edgar/data/1046179/000119312517122097/0001193125-17-122097-index.htm,https://www.sec.gov/Archives/edgar/data/1046179/000119312517122097/d366455d20f.htm,TSM
