Index,symbol,stockPrice,numberOfShares,marketCapitalization,minusCashAndCashEquivalents,addTotalDebt,enterpriseValue,Company
1995,MU,37.917952022899996,427800000,16221299875.396622,128100000.0,155900000.0,16249099875.396622,MU
1994,MU,9.6973055438,418000000,4053473717.3084,78000000.0,155000000.0,4130473717.3084,MU
1993,MU,5.2216380558,400384615,2090663542.6408317,,,,MU
1992,MU,1.4877359363999998,330000000,490952859.01199996,,,,MU
1991,MU,1.3729807837999999,450000000,617841352.71,,,,MU
1990,MU,0.8745100534,368972000,322669723.4231048,,,,MU
1989,MU,1.3972727297999998,365862069,511209091.881906,,,,MU
1988,MU,1.7125,288235294,493602940.975,,,,MU
1987,MU,1.2,229000000,274800000.0,,,,MU
1986,MU,1.0125,188333333,190687499.6625,,,,MU
1985,MU,0.7375,191600000,141305000.0,,,,MU
2022,NXPI,158.03,261879000,41384738370.0,3845000000.0,11165000000.0,48704738370.0,NXPI
2021,NXPI,227.78,270687000,61657084860.0,2830000000.0,10572000000.0,69399084860.0,NXPI
2020,NXPI,159.01,279763000,44485114630.0,2275000000.0,7609000000.0,49819114630.0,NXPI
2019,NXPI,127.26,282056000,35894446560.0,1045000000.0,7365000000.0,42214446560.0,NXPI
2018,NXPI,73.28,325781000,23873231680.0,2789000000.0,7354000000.0,28438231680.0,NXPI
2017,NXPI,117.09,338646000,39652060140.0,3547000000.0,6565000000.0,42670060140.0,NXPI
2016,NXPI,98.01,338477000,33174130770.0,1894000000.0,9187000000.0,40467130770.0,NXPI
2015,NXPI,84.25,239764000,20200117000.0,1614000000.0,9212000000.0,27798117000.0,NXPI
2014,NXPI,76.4,237954000,18179685600.0,1185000000.0,3999000000.0,20993685600.0,NXPI
2013,NXPI,45.93,248526000,11414799180.0,670000000.0,3321000000.0,14065799180.0,NXPI
2012,NXPI,26.3201,248064000,6529069286.4,617000000.0,3492000000.0,9404069286.4,NXPI
2011,NXPI,15.37,248812000,3824240440.0,743000000.0,3799000000.0,6880240440.0,NXPI
2010,NXPI,20.93,229280000,4798830400.0,898000000.0,4551000000.0,8451830400.0,NXPI
2009,NXPI,14.0,215252000,3013528000.0,1041000000.0,5283000000.0,7255528000.0,NXPI
2008,NXPI,14.0,180210000,2522940000.0,1796000000.0,6367000000.0,7093940000.0,NXPI
2022,STM,35.57,906178490,32232768889.3,3258000000.0,2717000000.0,31691768889.3,STM
2021,STM,48.88,904332429,44203769129.52,3225000000.0,2742000000.0,43720769129.52,STM
2020,STM,37.12,894578477,33206753066.24,3006000000.0,2621000000.0,32821753066.24,STM
2019,STM,26.91,897391304,24148799990.64,2597000000.0,346000000.0,21897799990.64,STM
2018,STM,13.88,899363170,12483160799.6,2266000000.0,292000000.0,10509160799.6,STM
2017,STM,21.84,884707764,19322017565.76,1759000000.0,236000000.0,17799017565.76,STM
2016,STM,11.35,881246870,10002151974.5,1629000000.0,234000000.0,8607151974.5,STM
2015,STM,6.66,876510959,5837562986.940001,1771000000.0,382000000.0,4448562986.940001,STM
2014,STM,7.47,886532167,6622395287.49,0.0,404000000.0,7026395287.49,STM
2013,STM,8.0,892857143,7142857144.0,1836000000.0,450000000.0,5756857144.0,STM
2012,STM,7.24,883969466,6399938933.84,2250000000.0,1260000000.0,5409938933.84,STM
2011,STM,5.93,878378378,5208783781.54,1912000000.0,1473000000.0,4769783781.54,STM
2010,STM,10.44,882978723,9218297868.12,1892000000.0,1440000000.0,8766297868.119999,STM
2009,STM,9.27,876928190,8129124321.299998,1588000000.0,352000000.0,6893124321.299999,STM
2008,STM,6.65,893181818,5939659089.700001,1009000000.0,266000000.0,5196659089.700001,STM
2007,STM,14.3,900000000,12870000000.0,1855000000.0,206000000.0,11221000000.0,STM
2006,STM,18.4,898850575,16538850579.999996,1963000000.0,272000000.0,14847850579.999996,STM
2005,STM,18.0,886666667,15960000006.0,2027000000.0,3055000000.0,16988000006.0,STM
2004,STM,19.32,897014925,17330328351.0,1950000000.0,324000000.0,15704328351.0,STM
2003,STM,27.01,872413793,23563896548.93,2562000000.0,297000000.0,21298896548.93,STM
2002,STM,12.5777067404,893750000,11241325399.2325,2562000000.0,311000000.0,8990325399.2325,STM
2001,STM,20.3970510161,886437931,18080719701.21313,2438816000.0,225806000.0,15867709701.21313,STM
2000,STM,27.549996443,885428659,24393556405.980263,,,,STM
1999,STM,32.4739557852,859558115,27913252221.319855,,,,STM
1998,STM,8.360547264,844769178,7062732639.839428,,,,STM
1997,STM,6.5397772988,835384932,5463231414.053182,,,,STM
1996,STM,7.4972880923,834058667,6253178112.378711,,,,STM
1995,STM,4.3109406531,783882474,3379270824.4192038,,,,STM
2022,GFS,53.89,539000000,29046710000.0,2352000000.0,2511000000.0,29205710000.0,GFS
2021,GFS,64.97,508000000,33004760000.0,2939187000.0,2438617000.0,32504190000.0,GFS
2020,GFS,46.4,531845744,24677642521.6,908077000.0,2802467000.0,26572032521.6,GFS
2019,GFS,46.4,531845744,24677642521.6,997315000.0,3248336000.0,26928663521.6,GFS
2018,GFS,46.4,531845744,24677642521.6,,,,GFS
2021,UMC,323.6068017,2443669400,790788038946.158,132622131000.0,46822473000.0,704988380946.158,UMC
2020,UMC,236.49522000000002,2414593800,571039891941.636,94048036000.0,41405408000.0,518397263941.636,UMC
2019,UMC,80.49916,2357021600,189738258901.856,95492477000.0,65934121000.0,160179902901.85602,UMC
2018,UMC,55.08725,2420776000,133353892706.0,83661739000.0,80186809000.0,129878962706.0,UMC
2017,UMC,70.68664000000003,2441648000,172591893182.72006,81674572000.0,78764685000.0,169682006182.72006,UMC
2016,UMC,56.4725,2457891200,138803260792.0,57578981000.0,81279493000.0,162503772792.0,UMC
2015,UMC,62.12836,2501502200,155414229222.392,53290433000.0,53029456000.0,155153252222.392,UMC
2014,UMC,71.74335,2498994000,179286201189.90002,45701335000.0,39652044000.0,173236910189.90002,UMC
2013,UMC,60.908280000000005,2501502400,152362208599.87198,50830678000.0,33058778000.0,134590308599.872,UMC
2012,UMC,57.6702,2524963400,145615144270.68,42592725000.0,37927428000.0,140949847270.68,UMC
2011,UMC,64.735,2512249800,162630490803.0,49070128000.0,30507263000.0,144067625803.0,UMC
2010,UMC,91.76640316,2499297000,229351496118.5785,51271105000.0,10923505000.0,189003896118.57852,UMC
2009,UMC,123.96600388,2539814400,314850641764.8799,66152960000.0,13695819000.0,262393500764.8799,UMC
2008,UMC,64.38599608,2622197000,168832765762.98776,48613030379.3,8337657770.25,128557393153.93774,UMC
2007,UMC,107.89136699999999,3264051411,352162968691.06885,47680675401.78,30745507062.11,335227800351.3988,UMC
2006,UMC,156.8421148148,2630687484,412602588407.3853,93838717965.52,39787779863.59,358551650305.4553,UMC
2005,UMC,135.5348408383,2683146863,363659883022.48895,108908312805.0,47952413725.0,302703983942.4889,UMC
2004,UMC,143.1486981834,2731267386,390977370696.67786,101542627292.4,72840948395.04,362275691799.3178,UMC
2003,UMC,181.69529402610002,2684013243,487672575356.8312,118570127975.4,83155150715.34,452257598096.7711,UMC
2002,UMC,38.488568950518456,2690778184,103564201665.4348,81075968257.74,71451098331.59,93939331739.2848,UMC
2001,UMC,79.89743240003473,2692687152,215138789701.36206,76904067018.24,65168995398.320015,203403718081.442,UMC
2000,UMC,62.539142697457606,2594347710,162248281642.51236,62756683470.16,49125326999.3,148616925171.65234,UMC
1999,UMC,106.12703003311672,1831287507,194349104254.66046,27282783865.91,20887730353.67,187954050742.4204,UMC
