Index,symbol,stockPrice,numberOfShares,marketCapitalization,minusCashAndCashEquivalents,addTotalDebt,enterpriseValue,Company
1987,AMD,9.9322788277,115542169,1147597038.865235,,,,AMD
1986,AMD,14.2460969597,110909091,1580021664.0981905,15400000,162400000,1727021664.0981905,AMD
2023,NVDA,191.62,2487000000,476558940000,0,11855000000,488413940000,NVDA
2022,NVDA,244.86,2496000000,611170560000,1990000000,11687000000,620867560000,NVDA
2021,NVDA,132.37,2468000000,326689160000,847000000,7718000000,333560160000,NVDA
2020,NVDA,60.05,2436000000,146281800000,10896000000,2643000000,138028800000,NVDA
2019,NVDA,34.5025,2432000000,83910080000,782000000,1988000000,85116080000,NVDA
2018,NVDA,61.7125,2396000000,147863150000,4002000000,2000000000,145861150000,NVDA
2017,NVDA,27.505,2164000000,59520820000,1766000000,2816000000,60570820000,NVDA
2016,NVDA,7.325,2172000000,15909900000,596000000,1510000000,16823900000,NVDA
2015,NVDA,5.1537,2209276000,11385945721.199999,496654000,1398428000,12287719721.199999,NVDA
2014,NVDA,3.865,2351572000,9088825780,1151587000,1373875000,9311113780,NVDA
2013,NVDA,3.1525,2477296000,7809675640,732786000,18998000,7095887640,NVDA
2012,NVDA,3.7,2414584000,8933960800,667876000,21439000,8287523800,NVDA
2011,NVDA,5.98,2300708000,13758233840.000002,665361000,23389000,13116261840.000002,NVDA
2010,NVDA,4.1425,2198296000,9106441180,447221000,24450000,8683670180,NVDA
2009,NVDA,1.9875,2192504000,4357601700,417688000,25634000,3965547700,NVDA
2008,NVDA,6.1475,2200432000,13527155720,726969000,0,12800186720,NVDA
2007,NVDA,5.03,2113367316,10630237599.480001,544414000,0,10085823599.480001,NVDA
2006,NVDA,3.8109,2035262368,7756181358.211201,551756000,0,7204425358.211201,NVDA
2005,NVDA,1.91,1991748124,3804238916.8399997,208512000,856000,3596582916.8399997,NVDA
2004,NVDA,1.8542,1930122940,3578833955.348,214422000,4871000,3369282955.348,NVDA
2003,NVDA,0.7664351819,1841235384,1411187576.4567564,346994000,310556000,1374749576.4567564,NVDA
2002,NVDA,5.2005916188,1715322340,8920690984.944405,333000000,310000000,8897690984.944405,NVDA
2001,NVDA,1.9528034127,1571190404,3068225982.9326916,674000000,301000000,2695225982.9326916,NVDA
2000,NVDA,0.7086848264,1428035982,1012027431.9966235,62000000,3000000,953027431.9966235,NVDA
1999,NVDA,0.3705966523,699120000,259091531.555976,50300000,8400000,217191531.555976,NVDA
2022,INTC,26.43,4108000000,108574440000,11144000000,42007000000,139437440000,INTC
2021,INTC,51.31,4059000000,208267290000,4827000000,38101000000,241541290000,INTC
2020,INTC,47.07,4199000000,197646930000,5865000000,36401000000,228182930000,INTC
2019,INTC,60.08,4417000000,265373360000,4194000000,29001000000,290180360000,INTC
2018,INTC,46.75,4611000000,215564250000,3019000000,26359000000,238904250000,INTC
2017,INTC,46.16,4701000000,216998159999.99997,3433000000,26813000000,240378159999.99997,INTC
2016,INTC,36.27,4730000000,171557100000,5560000000,25283000000,191280100000,INTC
2015,INTC,34.98,4742000000,165875160000,15308000000,22670000000,173237160000,INTC
2014,INTC,37.55,4901000000,184032550000,2561000000,13663000000,195134550000,INTC
2013,INTC,25.6,4970000000,127232000000,5674000000,13446000000,135004000000,INTC
2012,INTC,20.23,4996000000,101069080000,8478000000,13448000000,106039080000,INTC
2011,INTC,24.25,5256000000,127458000000,5065000000,7331000000,129724000000,INTC
2010,INTC,20.84,5555000000,115766200000,5498000000,2115000000,112383200000,INTC
2009,INTC,20.33,5557000000,112973809999.99998,3987000000,2221000000,111207809999.99998,INTC
2008,INTC,14.18,5663000000,80301340000,3350000000,1287000000,78238340000,INTC
2007,INTC,26.76,5816000000,155636160000,7307000000,2122000000,150451160000,INTC
2006,INTC,20.25,5797000000,117389250000,6598000000,2028000000,112819250000,INTC
2005,INTC,24.96,6106000000,152405760000,7324000000,2419000000,147500760000,INTC
2004,INTC,23.54,6400000000,150656000000,8407000000,904000000,143153000000,INTC
2003,INTC,31.36,6527000000,204686720000,7971000000,1160000000,197875720000,INTC
2002,INTC,9.6167571621,6651000000,63961051885.127106,7404000000,1365000000,57922051885.127106,INTC
2001,INTC,18.8354635046,6716000000,126498972896.8936,7970000000,1459000000,119987972896.8936,INTC
2000,INTC,17.5161303422,6709000000,117515718465.81981,2976000000,1085000000,115624718465.81981,INTC
1999,INTC,24.1891196781,6648000000,160809267620.0088,3695000000,1185000000,158299267620.0088,INTC
1998,INTC,18.1581373505,6672000000,121151092402.536,2038000000,861000000,119974092402.536,INTC
1997,INTC,10.2807155185,6540000000,67235879490.99,4102000000,770000000,63903879490.99,INTC
1996,INTC,9.8045805499,7104000000,69651740226.48961,4165000000,1117000000,66603740226.48961,INTC
1995,INTC,4.0998494766,7072000000,28994135498.5152,1463000000,746000000,28277135498.5152,INTC
1994,INTC,2.3014119502,6986259542,16078261197.157578,1180000000,909000000,15807261197.157578,INTC
1993,INTC,2.2254015926,6557142857,14592276156.873514,,,,INTC
1992,INTC,1.5555313287,6665625000,10368588512.865938,,,,INTC
1991,INTC,0.8748267325,6296923077,5508716640.255755,,,,INTC
1990,INTC,0.6873638612,5911818182,4063570172.2918844,,,,INTC
1989,INTC,0.6159494341,5585714286,3440517553.5059857,,,,INTC
1988,INTC,0.4240231611,5032222222,2133778773.930106,,,,INTC
1987,INTC,0.4731205798,4387500000,2075816543.8725,,,,INTC
1986,INTC,0.249950495,4582500000,1145398143.3374999,,,,INTC
1985,INTC,0.3481453323,5568960000,1938807429.765408,,,,INTC
2022,TSM,2277.45726,5186076000,11811066437111.76,1342814083000,888174472000,11356426826111.76,TSM
2021,TSM,3327.6183173100003,5186076000,17257281492561.777,1064990200000,753631900000,16945923192561.777,TSM
2020,TSM,3059.00816,5186076000,15864248802380.16,660170600000,367792300000,15571870502380.16,TSM
2019,TSM,1745.1497,5186076000,9050478975577.2,455399300000,190464100000,8785543775577.199,TSM
2018,TSM,1135.9052499999998,5186076000,5890890955298.999,577814600000,180554700000,5493631055298.999,TSM
2017,TSM,1172.6884,5186076000,6081651166718.4,553391700000,155566800000,5683826266718.4,TSM
2016,TSM,927.7625,5186076000,4811446834950,541253800000,211073600000,4481266634950,TSM
2015,TSM,751.8192499999999,5186057600,3898977935288.7993,562688900000,231471600000,3567760635288.7993,TSM
2014,TSM,707.3199,5185854600,3668058157086.54,358449000000,250674400000,3560283557086.54,TSM
2013,TSM,520.70608,5185555600,2700150329098.0483,242695400000,227228800000,2684683729098.0483,TSM
2012,TSM,497.2968,5184147000,2578059713829.6,143410600000,116950500000,2551599613829.6,TSM
2011,TSM,390.52750000000003,5182815200,2024031863018.0002,143472300000,50947500000,1931507063018.0002,TSM
2010,TSM,364.16161253999996,5181166400,1886781911062.0664,147887000000,36951900000,1775846811062.0664,TSM
2009,TSM,365.50801143999996,5167160400,1888638522595.515,171276300000,12337800000,1729700022595.515,TSM
2008,TSM,258.2239792786,5207838243,1344788714546.7327,195144848610,24564743930,1174208609866.7327,TSM
2007,TSM,319.795473,5322141297,1701996693446.9485,94992537170,15155347429,1622159503705.9485,TSM
2006,TSM,350.7578382677,5235464138,1836380083372.9473,117817476029,20766401381,1739329008724.9473,TSM
2005,TSM,301.3556776243,5160211019,1555058888315.1245,96772432405,21152421240,1479438877150.1245,TSM
2004,TSM,252.4843375314,5104002463,1288680680629.189,74421550560,32361330120,1246620460189.189,TSM
2003,TSM,261.2884580406,5065420623,1323535943910.7253,102818344080,44142618000,1264860217830.7253,TSM
2002,TSM,119.64983740244658,5026271515,601392569510.2988,67908106894.38,46862645235.61,580347107851.5288,TSM
2001,TSM,291.4025118008336,4457587848,1298952295480.0725,40522663177.92,44346719672.64,1302776351974.7925,TSM
2000,TSM,209.1145411116694,4749446996,993178429102.7368,38840228525.5,56224266800.34,1010562467377.5768,TSM
1999,TSM,545.5161942047727,4037936329,2202759658637.271,17646028643.64,33884039416.38,2218997669410.011,TSM
1998,TSM,139.85318079788163,3968452729,555000736996.6837,9661881299,31501792378,576840648075.6837,TSM
1997,TSM,123.63873163491327,3881665081,479924147246.37286,12852879555.04,20317657532.48,487388925223.81287,TSM
2022,AVGO,470.12,409000000,192279080000.0,12416000000.0,39515000000.0,219378080000.0,AVGO
2021,AVGO,528.05,410000000,216500500000.0,12163000000.0,39730000000.0,244067500000.0,AVGO
2020,AVGO,349.63,402000000,140551260000.0,7618000000.0,41062000000.0,173995260000.0,AVGO
2019,AVGO,305.0,398000000,121390000000.0,5055000000.0,32827000000.0,149162000000.0,AVGO
2018,AVGO,220.09,418000000,91997620000.0,4292000000.0,17493000000.0,105198620000.0,AVGO
2017,AVGO,263.91,405000000,106883550000.00003,11204000000.0,17548000000.0,113227550000.00003,AVGO
2016,AVGO,170.28,366000000,62322480000.0,3097000000.0,13642000000.0,72867480000.0,AVGO
2015,AVGO,123.13,264000000,32506320000.0,1822000000.0,3949000000.0,34633320000.0,AVGO
2014,AVGO,86.25,251000000,21648750000.0,1604000000.0,5509000000.0,25553750000.0,AVGO
2013,AVGO,45.43,247000000,11221210000.0,985000000.0,2000000.0,10238210000.0,AVGO
2012,AVGO,33.03,245000000,8092350000.0,1084000000.0,3000000.0,7011350000.0,AVGO
2011,AVGO,33.77,245000000,8273650000.000002,829000000.0,6000000.0,7450650000.000002,AVGO
2010,AVGO,23.83,238000000,5671540000.0,561000000.0,236000000.0,5346540000.0,AVGO
2009,AVGO,15.0,219000000,3285000000.0,472000000.0,596000000.0,3409000000.0,AVGO
2008,AVGO,16.18,214000000,3462520000.0,213000000.0,705000000.0,3954520000.0,AVGO
2007,AVGO,16.18,214000000,3462520000.0,309000000.0,905000000.0,4058520000.0,AVGO
2022,TXN,165.22,923000000,152498060000.0,3050000000.0,9079000000.0,158527060000.0,TXN
2021,TXN,188.47,923000000,173957810000.0,4631000000.0,8124000000.0,177450810000.0,TXN
2020,TXN,164.13,921000000,151163730000.0,3107000000.0,7047000000.0,155103730000.0,TXN
2019,TXN,128.29,936000000,120079440000.0,2437000000.0,6062000000.0,123704440000.0,TXN
2018,TXN,94.5,970000000,91665000000.0,2438000000.0,5068000000.0,94295000000.0,TXN
2017,TXN,104.44,991000000,103500040000.0,1656000000.0,4077000000.0,105921040000.0,TXN
2016,TXN,72.97,995983961,72676949634.17,1154000000.0,3609000000.0,75131949634.17,TXN
2015,TXN,54.81,1011268412,55427621661.72,1000000000.0,4120000000.0,58547621661.72,TXN
